code,name,latitude,longitude
ETW,Etawah Railway Station,26.786722,79.0214195
TDL,Tundla Junction,27.2083283,78.2334217
ALJN,Aligarh Junction,27.8893909,78.0746126
TPJ,Tiruchirappalli Junction,10.7947068,78.6848465
SRGM,Srirangam Railway Station,10.8576647,78.69591
ALU,Ariyalur Railway Station,11.1491803,79.0682847
VRI,Vriddhachalam Junction,11.5345375,79.3159433
VM,Villupuram Junction,11.9417363,79.4991554
MLMR,Melmaruvattur Railway Station,12.429554,79.83380100000001
CGL,Chengalpattu Railway Station,12.6935619,79.9808668
TBM,Tambaram Railway Station,12.9257861,80.1178872
MS,Chennai Egmore Railway Station,13.0778746,80.2616195
NLR,Nellore Railway Station,14.4618325,79.9894676
OGL,Ongole Railway Station,15.4976049,80.057093
EE,Eluru Railway Station,16.7181125,81.1194163
RJY,Rajahmundry Railway Station,16.9842011,81.783782
VSKP,Visakhapatnam Railway Station,17.7213754,83.2904709
VZM,Vizianagaram Junction,18.1115291,83.3958641
BAM,Brahmapur Railway Station,19.2963987,84.7970277
KUR,Khurda Road Junction,20.1541167,85.7086515
LTT,Mumbai Lokmanya Tilak Terminus Railway Station,19.069688,72.8897828
PUNE,Pune Junction,18.5289037,73.8744212
KWV,Kurduvadi Railway Station,18.0922214,75.416631
SUR,Solapur Railway Station,17.664563,75.8934403
DUD,Dudhani Railway Station,17.3626152,76.3802111
GUR,Ganagapur Road Railway Station,17.3408169,76.589621
KLBG,Kalaburagi Railway Station,17.3149064,76.8246283
SDB,Shahabad Railway Station,17.121662999999998,76.943513
WADI,Wadi Junction,17.0521762,76.9913644
YG,Yadgir Railway Station,16.7439522,77.1302308
KSN,Krishna Railway Station,16.4104049,77.3288409
RC,Raichur Railway Station,16.1924075,77.3394929
MALM,Manthralayam Road Railway Station,15.949035,77.299196
AD,Adoni Railway Station,15.6175995,77.2746882
GTL,Guntakal Junction,15.1753265,77.3666095
ATP,Anantapur Railway Station,14.6862683,77.5952101
DMM,Dharmavaram Junction,14.4261339,77.7152002
SSPN,Sri Satya Sai Prasanthi Nilayam Railway Station,14.1609808,77.7588363
HUP,Hindupur Railway Station,13.8187984,77.4999556
GBD,Gauribidanur Railway Station,13.6134018,77.5131698
BNCE,Bangalore East Railway Station,13.0012254,77.6182764
BNC,Bangalore Cantt. Railway Station,12.9937224,77.5980391
SBC,Bangalore City Junction,12.9937224,77.5980391
HSRA,Hosur Railway Station,12.7178964,77.8229098
DPJ,Dharmapuri Railway Station,12.125853,78.1541017
TUP,Tiruppur Railway Station,11.1085741,77.3397627
CBE,Coimbatore Main Junction,10.9959474,76.9669917
BSB,Varanasi Junction,25.3267705,82.9862682
JOP,Jaunpur City Railway Station,25.7335279,82.6678627
LBA,Lambhua Railway Station,26.1340275,82.2237115
SLN,Sultanpur Railway Station,26.263027,82.066106
NHH,Nihalgarh Railway Station,26.4601756,81.6327613
LKO,Lucknow Railway Station,26.8310552,80.924412
SPN,Shahjehanpur Railway Station,27.894224,79.904605
MB,Moradabad Railway Station,28.8325304,78.7651216
JRC,Jalandhar Cantt. Railway Station,31.3073755,75.6312368
PTKC,Pathankot Cantt Railway Station,32.2594102,75.6365486
KTHU,Kathua Railway Station,32.39792,75.55132
DGLE,Dhulian Ganga Railway Station,24.672319,87.938339
PCOI,Prayagraj Chheoki Junction,25.3767759,81.8671352
ZNA,Zamania Railway Station,25.3740989,83.5437929
BXR,Buxar Railway Station,25.5612101,83.9810882
DNR,Danapur Railway Station,25.5823346,85.0436409
ORAI,Orai Railway Station,25.9827737,79.4597519
MBP,Mohibullapur Railway Station,26.9096956,80.9393096
SD,Sidhauli Railway Station,27.284408,80.837434
STP,Sitapur Railway Station,27.5575777,80.6996173
VEER,Veer Railway Station,18.1137835,73.3303983
SVX,Savarda Railway Station,17.4046757,73.5151623
AVRD,Aravali Road Railway Station,17.316624,73.538207
VID,Vilavade Railway Station,16.7856448,73.6191647
BINA,Bina Junction,24.1714707,78.1846781
BAQ,Ganj Basoda Railway Station,23.8459214,77.9447126
BHS,Vidisha Railway Station,23.522512,77.8148015
HSX,Hoshiarpur Railway Station,31.5242929,75.9056812
KUPR,Khurdpur Railway Station,31.4256476,75.7236368
KUN,Karnal Railway Station,29.6950793,76.9698383
PNP,Panipat Junction,29.3904411,76.9639938
DLI,Old Delhi Railway Station,28.660217,77.225843
ANVT,Delhi Anand Vihar Terminus Railway Station,28.6488339,77.3131578
FTP,Fatehpur Railway Station,25.9171303,80.8016978
PRYJ,Prayagraj Junction,25.4452786,81.8253314
SSM,Sasaram Railway Station,24.9559874,84.0187853
DOS,Dehri On Sone Railway Station,24.9145106,84.1857895
GAYA,Gaya Junction,24.8032809,84.9996887
KQR,Koderma Railway Station,24.4348832,85.5292375
PNME,Parasnath Railway Station,23.9875656,86.0373788
GMO,Gomoh Junction,23.8717293,86.1524866
VAA,Bhaga Junction,23.7239727,86.4057979
ADRA,Adra Junction,23.4956158,86.6744867
BQA,Bankura Railway Station,23.2243374,87.0750287
MDN,Midnapore Railway Station,22.4251115,87.3078627
HIJ,Hijilli Railway Station,22.319921,87.32016899999999
PURI,Puri Railway Station,19.8077433,85.8380287
BGP,Bhagalpur Railway Station,25.2414861,86.9724279
SGG,Sultanganj Railway Station,25.2416519,86.7354493
BUP,Bariarpur Railway Station,25.2809369,86.575035
JMP,Jamalpur Junction,25.3148744,86.4928984
DRH,Dharhara Railway Station,25.2578223,86.4110445
AHA,Abhaipur Railway Station,25.2156072,86.3223533
KJH,Kajra Railway Station,25.18222,86.2621
KIUL,Kiul Junction,25.1713771,86.1065522
LKR,Luckeesarai Junction,25.1719245,86.0940227
BRYA,Barhiya Railway Station,25.2825516,86.015598
HTZ,Hathidah Junction,25.3659966,85.9873928
MKA,Mokameh Junction,25.3921849,85.9141634
BARH,Barh Railway Station,25.4535243,85.6937027
BKP,Bakhtiyarpur Junction,25.4558269,85.5323428
KOO,Khusropur Railway Station,25.4853618,85.3875283
FUT,Fatwa Railway Station,25.50144,85.305488
PNC,Patna Saheb Railway Station,25.5859004,85.2313386
CAR,Chunar Railway Station,25.1038201,82.8718126999999
BBU,Bhabua Road Railway Station,25.172576,83.6192576
AUBR,Anugraha Narayan Road Railway Station,24.855965,84.3303035
PRP,Paharpur Railway Station,24.6242179,85.2065079
HZD,Hazaribagh Road Railway Station,24.174583,85.892035
CRP,Chandrapura Railway Station,23.7554016,86.1202648
BKSC,Bokaro Steel City Railway Station,23.6580092,86.0839298
PRR,Purulia Junction,23.3258979,86.377838
TATA,Tatanagar Railway Station,22.768494,86.2011402999999
GTS,Ghatsila Railway Station,22.586079,86.479476
DPA,Durgapura Railway Station,26.8549572,75.7870359
RMA,Ramganj Mandi Railway Station,24.644606,75.939411
BWM,Bhawani Mandi Railway Station,24.4193776,75.8303678
SGZ,Shamgarh Railway Station,24.1922253,75.6436976
VMA,Vikramgarh Alot Railway Station,23.7646692,75.5384972
