third_ac,arrival,from_station_code,name,zone,chair_car,first_class,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,classes,to_station_name,type,first_ac,distance,duration
1,12:25:00,ANVT,Vikramshila Express,ER,0,0,1,ANAND VIHAR TRM,12368,14:40:00,12367,BGP,1,,BHAGALPUR,SF,1,1206.0,21.75
1,20:15:00,LTT,MUMBAI LTT - GORAKHPUR Exp,CR,0,0,1,LOKMANYA TILAK TERM,11055,10:55:00,11056,GKP,1,,GORAKHPUR JN,Exp,0,1733.0,33.33333334326744
1,10:50:00,GWL,Gwalior-Varanasi Bundelkhand Express,NCR,0,0,1,GWALIOR JN,11107,20:40:00,11108,BSB,1,,VARANASI JN,Exp,1,624.0,14.16666667163372
1,10:35:00,SC,Secunderabad- Hazrat Nizamuddin Duronto Express,SCR,0,0,1,SECUNDERABAD JN,12285,13:30:00,12286,NZM,1,,DELHI H NIZAMUDDIN,Drnt,1,1660.0,21.08333333581686
1,06:35:00,NZM,Gujarat Sampark Kranti Express,WR,0,0,1,DELHI H NIZAMUDDIN,12918,14:05:00,12917,ADI,1,,AHMEDABAD JN,SKr,0,1085.0,16.5
1,09:10:00,KOAA,KOLKATA CHITPUR - SITAMARHI Mithilanchal Exp,ER,0,0,1,KOLKATA CHITPUR,13155,20:55:00,13156,SMI,0,,SITAMARHI JN,Exp,0,552.0,12.25
1,08:20:00,ALD,Allahabad Mathura SF Express,NCR,0,0,1,ALLAHABAD JN,12403,23:30:00,12404,MTJ,1,,MATHURA JN,SF,1,507.0,8.833333313465118
1,13:15:00,BKN,BIKANER - KOLKATA CHITPUR Pratap Exp,NR,0,0,1,BIKANER JN,12495,05:30:00,12496,KOAA,1,,KOLKATA CHITPUR,SF,0,1873.0,31.75
1,05:50:00,SC,SECUNDERABAD - GUWAHATI Exp,NER,0,0,1,SECUNDERABAD JN,12513,07:30:00,12514,GHY,1,,GUWAHATI,SF,0,2551.0,46.33333334326744
1,04:50:00,GKP,GORAKHPUR - YESVANTPUR SF Exp,NFR,0,0,1,GORAKHPUR JN,12591,06:45:00,12592,YPR,1,,YESVANTPUR JN,SF,0,2547.0,46.08333333581686
1,07:45:00,GDR,Simhapuri SF Express,SCR,0,0,1,GUDUR JN,12709,21:00:00,12710,SC,1,,SECUNDERABAD JN,SF,1,644.0,10.75
