third_ac,arrival,from_station_code,name,zone,chair_car,first_class,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,classes,to_station_name,type,first_ac,distance,duration
0,21:45:00,BSPX,Banspani-Puri InterCity,ECoR,1,0,0,Banspani,18415,14:18:00,18416,PURI,0,,PURI,Exp,0,334.0,7.449999988079071
0,14:00:00,PURI,Puri-Banspani InterCity,ECoR,1,0,0,PURI,18416,06:00:00,18415,BSPX,0,,Banspani,Exp,0,334.0,8.0
1,11:10:00,PURI,Puri-Darbhanga Weekly Express,ECoR,0,0,1,PURI,18419,14:05:00,18420,DBG,1,,DARBHANGA JN,Exp,0,942.0,21.08333333581686
1,03:20:00,DBG,Darbhanga-Puri Weekly Express,ECoR,0,0,1,DARBHANGA JN,18420,07:00:00,18419,PURI,1,,PURI,Exp,0,942.0,20.33333334326744
1,09:45:00,PURI,PURI - DURG Exp,ECoR,0,0,1,PURI,18425,17:45:00,18426,DURG,1,,DURG,Exp,0,786.0,16.0
1,09:15:00,DURG,DURG - PURI Exp,ECoR,0,0,1,DURG,18426,16:25:00,18425,PURI,1,,PURI,Exp,0,786.0,16.83333331346512
1,20:30:00,PURI,Utkal Express,ECoR,0,0,1,PURI,18477,21:00:00,18478,HW,1,,HARIDWAR JN,Exp,0,2379.0,47.5
1,06:35:00,HW,Utkal Express,ECoR,0,0,1,HARIDWAR JN,18478,06:00:00,18477,PURI,1,,PURI,Exp,0,2378.0,48.58333331346512
1,07:50:00,KRBA,Korba Visakhapatnam Express,ECoR,0,0,1,Korba,18517,16:30:00,18518,VSKP,1,,VISHAKAPATNAM,Exp,0,731.0,15.33333334326744
1,11:10:00,VSKP,Visakhapatnam-Korba Express,ECoR,0,0,1,VISHAKAPATNAM,18518,20:00:00,18517,KRBA,1,,Korba,Exp,0,728.0,15.16666667163372
1,05:05:00,PNBE,Patliputra Express,SER,0,0,1,PATNA JN,18621,15:25:00,18622,HTE,1,,HATIA,Exp,0,547.0,13.666666686534882
1,06:55:00,HTE,Hatia-Rajendranagar Express,SER,0,0,1,HATIA,18624,19:05:00,18623,RJPB,1,,RAJENDRA NAGAR BIHAR,Exp,1,421.0,11.833333313465118
0,22:15:00,HWH,Howrah-Ranchi InterCity Express,SER,1,0,0,HOWRAH JN,18627,14:15:00,18628,RNC,0,,RANCHI,Exp,0,423.0,8.0
0,13:40:00,RNC,Ranchi-Howrah InterCity Express,SER,1,0,0,RANCHI,18628,05:45:00,18627,HWH,0,,HOWRAH JN,Exp,0,423.0,7.916666686534882
1,16:00:00,BCT,Saurashtra Mail,WR,0,0,1,Mumbai Central,19005,20:25:00,19006,OKHA,1,,OKHA,Mail,1,990.0,19.58333331346512
1,07:40:00,OKHA,Saurashtra Mail,WR,0,0,1,OKHA,19006,12:25:00,19005,BCT,1,,Mumbai Central,Mail,1,990.0,19.25
1,05:30:00,BL,VALSAD - MUZAFFARPUR Shramik Exp,WR,0,0,1,VALSAD,19051,19:40:00,19052,MFP,1,,MUZAFFARPUR JN,Exp,0,1729.0,33.83333331346512
1,05:25:00,MFP,MUZAFFARPUR - VALSAD Shramik Exp,WR,0,0,1,MUZAFFARPUR JN,19052,20:50:00,19051,BL,1,,VALSAD,Exp,0,1732.0,32.58333331346512
1,05:35:00,ASR,Golden Temple Mail,WR,0,0,1,AMRITSAR JN,12904,21:25:00,12903,BCT,1,,Mumbai Central,SF,1,1891.0,32.16666667163372
1,07:20:00,ASR,Amritsar Howrah Mail,ER,0,0,1,AMRITSAR JN,13006,18:45:00,13005,HWH,1,,HOWRAH JN,Mail,1,1910.0,36.58333331346512
1,12:05:00,RNC,RANCHI - MUMBAI LTT Exp,SER,0,0,1,RANCHI,18609,21:05:00,18610,LTT,1,,LOKMANYA TILAK TERM,Exp,0,2012.0,39.0
1,07:25:00,LTT,MUMBAI LTT - RANCHI Exp,SER,0,0,1,LOKMANYA TILAK TERM,18610,15:50:00,18609,RNC,1,,RANCHI,Exp,0,2012.0,39.58333331346512
0,08:55:00,RNC,Ranchi-Varanasi Express,SER,0,0,1,RANCHI,18611,20:10:00,18612,BSB,0,,VARANASI JN,Exp,0,572.0,12.75
1,07:35:00,HWH,HOWRAH - HATIA Kriya Yoga Express,SER,0,0,1,HOWRAH JN,18615,22:20:00,18616,HTE,1,,HATIA,Exp,1,423.0,9.25
1,12:25:00,HTE,Patliputra Express,SER,0,0,1,HATIA,18622,22:05:00,18621,PNBE,1,,PATNA JN,Exp,0,547.0,14.33333334326744
1,08:45:00,RJPB,Patna Rajendra Nagar-Hatia Express,SER,0,0,1,RAJENDRA NAGAR BIHAR,18623,21:20:00,18624,HTE,1,,HATIA,Exp,1,421.0,11.41666665673256
1,05:20:00,RNC,Ranchi Garib Nawaz Express,SER,0,0,1,RANCHI,18631,20:10:00,18632,AII,0,,AJMER JN,Exp,0,1671.0,33.16666667163372
1,04:15:00,AII,Garib Nawaz Express,SER,0,0,1,AJMER JN,18632,19:30:00,18631,RNC,0,,RANCHI,Exp,0,1671.0,32.75
1,19:35:00,ADI,AHMEDABAD - JAMMU TAWI Exp,WR,0,0,1,AHMEDABAD JN,19223,11:20:00,19224,JAT,1,,JAMMU TAWI,Exp,0,1476.0,32.25
1,15:00:00,JAT,JAMMU TAWI - AHMEDABAD Exp,WR,0,0,1,JAMMU TAWI,19224,07:40:00,19223,ADI,1,,AHMEDABAD JN,Exp,0,1476.0,31.33333334326744
