station,week,month,month_3,month_6,year,train_number,station_code
LUMDING JN (LMG),60,233,242,281,258,12515,LMG
MAIBANG (MBG),86,240,244,278,273,12515,MBG
NEW HAFLONG (NHLG),90,243,248,281,257,12515,NHLG
BADARPUR JN (BPB),72,215,219,244,224,12515,BPB
SILCHAR (SCL),48,193,197,226,202,12515,SCL
SILCHAR (SCL),0,1,1,0,1,12516,SCL
BADARPUR JN (BPB),25,11,16,11,16,12516,BPB
NEW HAFLONG (NHLG),10,3,8,4,15,12516,NHLG
MAIBANG (MBG),58,43,50,52,48,12516,MBG
LUMDING JN (LMG),12,8,13,11,22,12516,LMG
HOJAI (HJI),15,11,10,14,19,12516,HJI
GUWAHATI (GHY),17,88,47,44,37,12516,GHY
KAMAKHYA (KYQ),9,90,50,46,40,12516,KYQ
RANGIYA JN (RNY),45,117,74,66,63,12516,RNY
BARPETA ROAD (BPRD),53,125,83,80,80,12516,BPRD
NEW BONGAIGAON (NBQ),53,100,53,55,61,12516,NBQ
KOKRAJHAR (KOJ),17,93,56,58,65,12516,KOJ
NEW ALIPURDAUR (NOQ),24,100,65,68,78,12516,NOQ
NEW COOCH BEHAR (NCB),39,105,72,74,86,12516,NCB
DHUPGURI (DQG),44,111,81,81,89,12516,DQG
NEW JALPAIGURI (NJP),0,91,50,56,80,12516,NJP
KISHANGANJ (KNE),76,126,71,72,91,12516,KNE
MALDA TOWN (MLDT),76,119,57,60,62,12516,MLDT
NEW FARAKKA JN (NFK),107,132,61,65,64,12516,NFK
RAMPUR HAT (RPH),93,124,62,62,60,12516,RPH
BOLPUR S NIKTN (BHP),93,141,75,73,71,12516,BHP
DANKUNI (DKAE),116,155,85,88,80,12516,DKAE
KHARAGPUR JN (KGP),116,152,81,81,75,12516,KGP
BALASORE (BLS),116,145,80,84,77,12516,BLS
BHADRAKH (BHC),108,137,80,86,75,12516,BHC
JAJPUR K ROAD (JJKR),119,143,87,91,81,12516,JJKR
CUTTACK (CTC),127,159,99,106,100,12516,CTC
BHUBANESWAR (BBS),124,168,95,104,96,12516,BBS
KHURDA ROAD JN (KUR),131,166,90,101,96,12516,KUR
BALUGAN (BALU),136,176,101,114,108,12516,BALU
BRAHMAPUR (BAM),136,177,101,114,107,12516,BAM
PALASA (PSA),115,152,82,109,97,12516,PSA
SRIKAKULAM ROAD (CHE),118,160,94,123,108,12516,CHE
VIZIANAGRAM JN (VZM),116,161,94,123,111,12516,VZM
VISHAKAPATNAM (VSKP),120,161,95,124,112,12516,VSKP
RAJAMUNDRY (RJY),183,219,148,179,165,12516,RJY
VIJAYAWADA JN (BZA),181,219,148,184,175,12516,BZA
PERAMBUR (PER),225,267,163,219,195,12516,PER
ARAKKONAM (AJJ),239,270,168,224,202,12516,AJJ
KATPADI JN (KPD),226,251,147,208,195,12516,KPD
JOLARPETTAI (JTJ),234,258,147,207,197,12516,JTJ
SALEM JN (SA),230,259,148,222,208,12516,SA
ERODE JN (ED),224,266,150,223,207,12516,ED
TIRUPPUR (TUP),238,281,154,224,206,12516,TUP
COIMBATORE JN (CBE),197,268,128,194,173,12516,CBE
LOKMANYATILAK T (LTT),0,1,1,3,7,12519,LTT
THANE (TNA),3,1,3,4,8,12519,TNA
KALYAN JN (KYN),7,6,7,9,13,12519,KYN
NASIK ROAD (NK),3,2,9,9,15,12519,NK
MANMAD JN (MMR),7,5,15,14,23,12519,MMR
JALGAON JN (JL),13,20,25,25,35,12519,JL
BHUSAVAL JN (BSL),13,16,22,23,32,12519,BSL
KHANDWA (KNW),0,2,17,16,22,12519,KNW
ITARSI JN (ET),1,7,19,16,25,12519,ET
JABALPUR (JBP),3,7,25,26,35,12519,JBP
KATNI (KTE),7,8,28,31,39,12519,KTE
SATNA (STA),21,22,32,42,46,12519,STA
PRAYAGRAJ CHHEOKI (PCOI),55,35,40,52,53,12519,PCOI
MIRZAPUR (MZP),63,49,63,85,76,12519,MZP
PT DEEN DAYAL UPADHYAY JN (DDU),45,27,37,61,49,12519,DDU
DANAPUR (DNR),57,58,65,85,73,12519,DNR
PATLIPUTRA (PPTA),46,47,55,75,60,12519,PPTA
HAJIPUR JN (HJP),40,43,61,75,64,12519,HJP
BEGU SARAI (BGS),63,65,74,96,90,12519,BGS
KHAGARIA JN (KGG),59,71,74,97,87,12519,KGG
NAUGACHIA (NNA),57,77,81,107,95,12519,NNA
KATIHAR JN (KIR),21,58,61,87,81,12519,KIR
KISHANGANJ (KNE),38,72,92,121,111,12519,KNE
NEW JALPAIGURI (NJP),12,48,74,105,100,12519,NJP
NEW COOCH BEHAR (NCB),23,67,92,123,112,12519,NCB
NEW BONGAIGAON (NBQ),14,50,94,119,93,12519,NBQ
RANGIYA JN (RNY),33,66,109,131,126,12519,RNY
KAMAKHYA (KYQ),26,19,71,90,83,12519,KYQ
KAMAKHYA (KYQ),62,16,6,3,12,12520,KYQ
RANGIYA JN (RNY),69,35,17,21,25,12520,RNY
NEW BONGAIGAON (NBQ),56,27,14,20,36,12520,NBQ
NEW COOCH BEHAR (NCB),67,38,28,35,60,12520,NCB
NEW JALPAIGURI (NJP),65,26,24,29,58,12520,NJP
KISHANGANJ (KNE),90,46,46,50,73,12520,KNE
KATIHAR JN (KIR),115,43,41,49,94,12520,KIR
NAUGACHIA (NNA),100,31,39,46,59,12520,NNA
KHAGARIA JN (KGG),111,32,43,52,66,12520,KGG
BEGU SARAI (BGS),111,35,45,57,71,12520,BGS
HAJIPUR JN (HJP),93,35,37,47,64,12520,HJP
PATLIPUTRA (PPTA),84,22,31,39,60,12520,PPTA
DANAPUR (DNR),90,25,36,44,65,12520,DNR
PT DEEN DAYAL UPADHYAY JN (DDU),38,13,43,38,52,12520,DDU
MIRZAPUR (MZP),50,44,71,65,73,12520,MZP
PRAYAGRAJ CHHEOKI (PCOI),57,63,93,97,96,12520,PCOI
SATNA (STA),138,98,120,138,136,12520,STA
KATNI (KTE),138,107,131,147,143,12520,KTE
JABALPUR (JBP),147,121,158,169,158,12520,JBP
ITARSI JN (ET),110,99,142,155,140,12520,ET
KHANDWA (KNW),72,75,119,133,121,12520,KNW
BHUSAVAL JN (BSL),68,78,136,164,144,12520,BSL
JALGAON JN (JL),58,74,129,161,139,12520,JL
MANMAD JN (MMR),69,90,175,202,175,12520,MMR
NASIK ROAD (NK),66,93,178,209,182,12520,NK
KALYAN JN (KYN),86,132,192,223,197,12520,KYN
THANE (TNA),86,52,148,218,172,12520,TNA
LOKMANYATILAK T (LTT),55,83,189,250,185,12520,LTT
ERNAKULAM JN (ERS),0,1,15,9,24,12522,ERS
ALUVA (AWY),6,6,18,14,30,12522,AWY
ANGAMALI (AFK),7,7,19,15,31,12522,AFK
CHALAKUDI (CKI),11,12,23,20,36,12522,CKI
IRINJALAKUDA (IJK),15,15,26,24,40,12522,IJK
THRISUR (TCR),14,15,28,25,41,12522,TCR
WADAKANCHERI (WKI),14,14,29,26,41,12522,WKI
OTTAPPALAM (OTP),5,6,24,20,37,12522,OTP
PALAKKAD JN (PGT),5,7,28,23,40,12522,PGT
COIMBATORE JN (CBE),10,12,26,17,31,12522,CBE
TIRUPPUR (TUP),8,17,33,28,39,12522,TUP
ERODE JN (ED),3,13,29,26,38,12522,ED
SALEM JN (SA),0,11,28,24,37,12522,SA
JOLARPETTAI (JTJ),1,11,32,24,35,12522,JTJ
KATPADI JN (KPD),16,17,38,28,37,12522,KPD
CHENNAI CENTRAL (MAS),21,11,33,24,36,12522,MAS
GUDUR JN (GDR),28,15,35,25,42,12522,GDR
NELLORE (NLR),30,19,42,30,46,12522,NLR
ONGOLE (OGL),46,30,51,41,58,12522,OGL
VIJAYAWADA JN (BZA),51,26,46,35,52,12522,BZA
KHAMMAM (KMT),55,36,54,41,58,12522,KMT
WARANGAL (WL),56,36,62,51,67,12522,WL
RAMGUNDAM (RDM),102,55,90,72,88,12522,RDM
MANCHIRYAL (MCI),105,59,93,75,94,12522,MCI
BELAMPALLI (BPA),115,73,101,85,105,12522,BPA
SIRPUR KAGAZNGR (SKZR),115,77,102,90,107,12522,SKZR
BALHARSHAH (BPQ),71,44,76,70,89,12522,BPQ
CHANDRAPUR (CD),74,38,71,55,74,12522,CD
SEVAGRAM (SEGM),93,46,84,63,79,12522,SEGM
NAGPUR (NGP),84,42,79,59,73,12522,NGP
AMLA JN (AMLA),81,64,96,72,86,12522,AMLA
BETUL (BZU),81,67,100,75,90,12522,BZU
GHORADONGRI (GDYA),93,75,108,83,97,12522,GDYA
ITARSI JN (ET),34,23,65,45,62,12522,ET
BHOPAL JN (BPL),37,71,88,62,68,12522,BPL
LALITPUR (LAR),24,74,93,70,72,12522,LAR
VIRANGANA LAKSHMIBAI (VGLB),20,80,106,88,77,12522,VGLB
ORAI (ORAI),40,92,123,104,93,12522,ORAI
POKHRAYAN (PHN),43,96,130,113,97,12522,PHN
KANPUR CENTRAL (CNB),3,66,101,76,67,12522,CNB
UNNAO JN (ON),7,71,83,71,66,12522,ON
AISHBAGH (ASH),7,75,85,73,77,12522,ASH
BADSHAHNAGAR (BNZ),12,78,89,77,89,12522,BNZ
BARABANKI JN (BBK),5,71,103,81,87,12522,BBK
GONDA JN (GD),13,76,118,110,117,12522,GD
MANKAPUR JN (MUR),39,87,128,119,125,12522,MUR
BASTI (BST),56,93,137,128,132,12522,BST
KHALILABAD (KLD),53,98,145,136,138,12522,KLD
GORAKHPUR JN (GKP),0,61,94,87,102,12522,GKP
DEORIA SADAR (DEOS),0,61,96,89,109,12522,DEOS
BHATNI JN (BTT),0,61,95,89,108,12522,BTT
SIWAN JN (SV),26,73,100,91,108,12522,SV
CHHAPRA (CPR),14,66,93,85,107,12522,CPR
SONPUR JN (SEE),22,70,91,86,111,12522,SEE
HAJIPUR JN (HJP),20,68,89,83,109,12522,HJP
MUZAFFARPUR JN (MFP),12,66,86,81,107,12522,MFP
SAMASTIPUR JN (SPJ),7,79,99,98,122,12522,SPJ
BARAUNI JN (BJU),2,69,104,95,115,12522,BJU
NEW JALPAIGURI (NJP),3,59,30,27,20,12523,NJP
KISHANGANJ (KNE),16,79,49,44,33,12523,KNE
KATIHAR JN (KIR),0,69,39,39,25,12523,KIR
KHAGARIA JN (KGG),1,83,55,45,31,12523,KGG
RUSERA GHAT (ROA),10,98,66,53,39,12523,ROA
SAMASTIPUR JN (SPJ),0,92,59,48,32,12523,SPJ
MUZAFFARPUR JN (MFP),17,107,86,71,50,12523,MFP
HAJIPUR JN (HJP),20,110,87,73,47,12523,HJP
SONPUR JN (SEE),35,117,94,80,52,12523,SEE
CHHAPRA (CPR),88,124,88,75,50,12523,CPR
SIWAN JN (SV),99,129,94,86,63,12523,SV
DEORIA SADAR (DEOS),95,127,99,89,65,12523,DEOS
GORAKHPUR JN (GKP),91,131,100,111,88,12523,GKP
GONDA JN (GD),115,140,99,110,89,12523,GD
LUCKNOW NR (LKO),141,147,111,116,80,12523,LKO
MORADABAD (MB),291,218,191,189,139,12523,MB
GHAZIABAD (GZB),301,240,208,213,155,12523,GZB
NEW DELHI (NDLS),298,234,202,206,152,12523,NDLS
NEW DELHI (NDLS),236,224,163,163,98,12524,NDLS
GHAZIABAD (GZB),250,230,171,170,105,12524,GZB
MORADABAD (MB),256,284,229,225,137,12524,MB
LUCKNOW NR (LKO),267,330,283,295,207,12524,LKO
GONDA JN (GD),312,346,298,310,218,12524,GD
GORAKHPUR JN (GKP),300,329,293,308,216,12524,GKP
DEORIA SADAR (DEOS),279,331,302,312,223,12524,DEOS
SIWAN JN (SV),289,344,311,319,231,12524,SV
CHHAPRA (CPR),302,361,321,332,239,12524,CPR
SONPUR JN (SEE),352,387,343,353,263,12524,SEE
HAJIPUR JN (HJP),346,383,339,350,261,12524,HJP
MUZAFFARPUR JN (MFP),366,406,362,373,275,12524,MFP
SAMASTIPUR JN (SPJ),361,407,367,379,272,12524,SPJ
RUSERA GHAT (ROA),358,415,371,381,274,12524,ROA
KHAGARIA JN (KGG),348,414,366,373,268,12524,KGG
KATIHAR JN (KIR),360,414,376,419,291,12524,KIR
KISHANGANJ (KNE),365,443,414,456,336,12524,KNE
NEW JALPAIGURI (NJP),336,428,414,448,339,12524,NJP
RAMNAGAR (RMR),1,1,2,1,1,12527,RMR
KASHIPUR (KPV),5,5,7,6,3,12527,KPV
PIPALSANA (PLS),1,8,7,6,5,12527,PLS
MORADABAD (MB),0,11,15,18,13,12527,MB
NAJIBABAD JN (NBD),2,16,21,24,17,12527,NBD
LAKSAR JN (LRJ),7,15,19,21,15,12527,LRJ
ROORKEE (RK),7,13,19,21,14,12527,RK
SAHARANPUR (SRE),0,9,15,17,12,12527,SRE
YAMUNANAGAR JAGADHRI (YJUD),3,10,16,21,16,12527,YJUD
AMBALA CANT JN (UMB),1,7,15,19,12,12527,UMB
CHANDIGARH (CDG),1,3,9,11,10,12527,CDG
CHANDIGARH (CDG),3,4,3,4,3,12528,CDG
AMBALA CANT JN (UMB),0,2,3,5,4,12528,UMB
YAMUNANAGAR JAGADHRI (YJUD),12,12,14,13,12,12528,YJUD
SAHARANPUR (SRE),4,9,11,14,11,12528,SRE
ROORKEE (RK),16,20,17,17,15,12528,RK
LAKSAR JN (LRJ),19,19,18,18,17,12528,LRJ
NAJIBABAD JN (NBD),13,11,11,13,13,12528,NBD
MORADABAD (MB),5,12,26,22,21,12528,MB
PIPALSANA (PLS),20,29,34,28,26,12528,PLS
KASHIPUR (KPV),27,28,37,30,26,12528,KPV
RAMNAGAR (RMR),14,13,25,16,13,12528,RMR
PATLIPUTRA (PPTA),51,23,23,37,33,12529,PPTA
DIGHWARA (DGA),57,29,29,44,43,12529,DGA
CHHAPRA (CPR),62,31,28,45,41,12529,CPR
SIWAN JN (SV),65,30,28,51,48,12529,SV
DEORIA SADAR (DEOS),75,33,34,54,51,12529,DEOS
GORAKHPUR JN (GKP),59,25,26,62,58,12529,GKP
BASTI (BST),71,30,33,71,68,12529,BST
GONDA JN (GD),97,57,56,89,81,12529,GD
BADSHAHNAGAR (BNZ),121,85,83,116,97,12529,BNZ
LUCKNOW NE (LJN),102,66,65,100,96,12529,LJN
LUCKNOW NE (LJN),1,8,8,16,18,12530,LJN
BADSHAHNAGAR (BNZ),2,11,11,19,22,12530,BNZ
GONDA JN (GD),18,32,34,44,39,12530,GD
BASTI (BST),39,51,54,62,56,12530,BST
GORAKHPUR JN (GKP),28,25,30,46,41,12530,GKP
DEORIA SADAR (DEOS),7,21,30,49,47,12530,DEOS
SIWAN JN (SV),57,39,43,61,55,12530,SV
CHHAPRA (CPR),69,42,46,70,62,12530,CPR
DIGHWARA (DGA),81,47,51,77,69,12530,DGA
PATLIPUTRA (PPTA),70,37,41,65,58,12530,PPTA
GORAKHPUR JN (GKP),1,3,3,4,5,12531,GKP
SAHJANWA (SWA),3,6,5,8,10,12531,SWA
KHALILABAD (KLD),4,10,9,10,11,12531,KLD
BASTI (BST),6,14,15,17,18,12531,BST
BABHNAN (BV),8,17,24,27,23,12531,BV
MANKAPUR JN (MUR),21,32,32,32,27,12531,MUR
GONDA JN (GD),20,34,35,37,32,12531,GD
COLONELGANJ (CLJ),33,46,47,48,42,12531,CLJ
BARABANKI JN (BBK),41,57,58,59,48,12531,BBK
BADSHAHNAGAR (BNZ),49,73,69,68,54,12531,BNZ
LUCKNOW NE (LJN),38,112,80,69,49,12531,LJN
LUCKNOW NE (LJN),0,1,1,2,2,12532,LJN
BADSHAHNAGAR (BNZ),5,9,8,10,11,12532,BNZ
BARABANKI JN (BBK),13,22,17,17,15,12532,BBK
COLONELGANJ (CLJ),36,45,34,38,35,12532,CLJ
GONDA JN (GD),28,39,30,34,33,12532,GD
MANKAPUR JN (MUR),30,40,33,37,36,12532,MUR
BABHNAN (BV),54,50,38,44,41,12532,BV
BASTI (BST),54,53,40,47,45,12532,BST
KHALILABAD (KLD),58,58,45,53,49,12532,KLD
SAHJANWA (SWA),59,60,47,56,51,12532,SWA
GORAKHPUR JN (GKP),39,42,30,39,38,12532,GKP
LUCKNOW NE (LJN),1,1,1,2,4,12533,LJN
UNNAO JN (ON),22,16,16,16,16,12533,ON
KANPUR CENTRAL (CNB),20,17,18,19,19,12533,CNB
ORAI (ORAI),36,41,53,55,49,12533,ORAI
V LAKSHMIBAI JHANSI (VGLJ),11,11,11,11,11,12533,VGLJ
VIRANGANA LAKSHMIBAI (VGLB),18,16,30,32,25,12533,VGLB
LALITPUR (LAR),18,18,38,41,37,12533,LAR
BHOPAL JN (BPL),20,24,50,50,34,12533,BPL
RANI KAMLAPATI (RKMP),21,27,53,51,35,12533,RKMP
ITARSI JN (ET),21,16,42,41,33,12533,ET
KHANDWA (KNW),2,11,33,31,19,12533,KNW
BHUSAVAL JN (BSL),8,13,35,33,22,12533,BSL
MANMAD JN (MMR),19,26,52,51,41,12533,MMR
NASIK ROAD (NK),13,20,47,48,38,12533,NK
KALYAN JN (KYN),14,20,37,37,28,12533,KYN
DADAR (DR),12,16,32,34,25,12533,DR
C SHIVAJI TERM MUMBAI (CSMT),7,21,3,5,6,12533,CSMT
C SHIVAJI TERM MUMBAI (CSMT),1,2,4,6,8,12534,CSMT
KALYAN JN (KYN),15,17,19,20,19,12534,KYN
NASIK ROAD (NK),10,10,14,14,16,12534,NK
MANMAD JN (MMR),9,9,15,12,15,12534,MMR
BHUSAVAL JN (BSL),12,14,20,19,20,12534,BSL
KHANDWA (KNW),1,4,11,9,14,12534,KNW
ITARSI JN (ET),23,21,26,25,28,12534,ET
RANI KAMLAPATI (RKMP),20,21,28,28,30,12534,RKMP
BHOPAL JN (BPL),20,22,32,32,34,12534,BPL
LALITPUR (LAR),23,33,43,45,43,12534,LAR
V LAKSHMIBAI JHANSI (VGLJ),19,19,19,19,19,12534,VGLJ
VIRANGANA LAKSHMIBAI (VGLB),97,56,70,67,47,12534,VGLB
ORAI (ORAI),91,67,84,81,52,12534,ORAI
KANPUR CENTRAL (CNB),64,45,74,75,44,12534,CNB
UNNAO JN (ON),72,56,86,86,51,12534,ON
LUCKNOW NE (LJN),34,37,96,99,96,12534,LJN
LUCKNOW NE (LJN),1,0,1,1,6,12535,LJN
KANPUR CENTRAL (CNB),12,24,24,17,29,12535,CNB
BANDA JN (BNDA),2,25,27,26,37,12535,BNDA
CHITRAKOOTDHAM (CKTD),20,35,45,44,45,12535,CKTD
SATNA (STA),8,32,34,34,39,12535,STA
KATNI (KTE),25,67,58,53,48,12535,KTE
SHAHDOL (SDL),61,122,104,99,85,12535,SDL
ANUPPUR JN (APR),73,131,109,104,88,12535,APR
PENDRA ROAD (PND),82,135,116,114,99,12535,PND
USLAPUR (USL),82,143,129,125,107,12535,USL
BHATAPARA (BYT),124,181,166,157,137,12535,BYT
RAIPUR JN (R),118,184,169,158,135,12535,R
RAIPUR JN (R),0,2,2,7,7,12536,R
BHATAPARA (BYT),20,32,24,34,28,12536,BYT
USLAPUR (USL),20,29,22,31,26,12536,USL
PENDRA ROAD (PND),15,46,44,59,58,12536,PND
ANUPPUR JN (APR),14,56,60,74,68,12536,APR
SHAHDOL (SDL),15,68,79,86,78,12536,SDL
KATNI (KTE),75,121,124,129,110,12536,KTE
SATNA (STA),86,131,134,138,115,12536,STA
CHITRAKOOTDHAM (CKTD),72,120,124,129,105,12536,CKTD
BANDA JN (BNDA),99,142,144,142,115,12536,BNDA
KANPUR CENTRAL (CNB),68,124,119,115,88,12536,CNB
LUCKNOW NE (LJN),62,121,124,214,215,12536,LJN
MUZAFFARPUR JN (MFP),143,131,116,101,79,12537,MFP
CHAKIA (CAA),159,213,191,150,100,12537,CAA
BAPUDHAM MOTIHARI (BMKI),171,223,200,155,106,12537,BMKI
SAGAULI JN (SGL),175,227,205,158,116,12537,SGL
BETTIAH (BTH),176,228,205,156,120,12537,BTH
CHANPATIA (CAI),188,230,207,158,123,12537,CAI
NARKATIAGANJ JN (NKE),185,221,198,150,125,12537,NKE
HARINAGAR (HIR),185,220,197,150,124,12537,HIR
BAGAHA (BUG),186,214,190,145,126,12537,BUG
SISWA BAZAR (SBZ),164,206,183,137,141,12537,SBZ
GORAKHPUR JN (GKP),167,218,194,175,120,12537,GKP
DEORIA SADAR (DEOS),183,248,220,196,139,12537,DEOS
MAU JN (MAU),209,305,273,238,164,12537,MAU
VARANASI JN (BSB),226,320,286,253,168,12537,BSB
BANARAS (BSBS),217,317,283,254,167,12537,BSBS
MADHOSINGH (MBS),219,324,324,324,324,12537,MBS
GYANPUR ROAD (GYN),219,325,325,325,325,12537,GYN
PRAYAGRAJ RAMBAGH (PRRB),199,328,328,328,328,12537,PRRB
PRAYAGRAJ RAMBAGH (PRRB),1,0,0,0,0,12538,PRRB
GYANPUR ROAD (GYN),15,11,11,11,11,12538,GYN
MADHOSINGH (MBS),19,11,11,11,11,12538,MBS
BANARAS (BSBS),16,5,4,4,2,12538,BSBS
VARANASI JN (BSB),14,7,7,5,3,12538,BSB
MAU JN (MAU),12,33,31,25,16,12538,MAU
DEORIA SADAR (DEOS),52,85,80,56,38,12538,DEOS
GORAKHPUR JN (GKP),29,78,73,55,36,12538,GKP
SISWA BAZAR (SBZ),59,106,97,90,84,12538,SBZ
BAGAHA (BUG),47,101,92,80,50,12538,BUG
HARINAGAR (HIR),51,110,100,89,58,12538,HIR
NARKATIAGANJ JN (NKE),50,113,103,95,70,12538,NKE
CHANPATIA (CAI),70,121,110,100,73,12538,CAI
BETTIAH (BTH),98,134,123,107,81,12538,BTH
SAGAULI JN (SGL),90,136,124,109,80,12538,SGL
BAPUDHAM MOTIHARI (BMKI),90,117,106,105,83,12538,BMKI
CHAKIA (CAA),134,136,123,111,84,12538,CAA
MUZAFFARPUR JN (MFP),137,175,156,119,86,12538,MFP
YESVANTPUR JN (YPR),8,3,1,2,2,12539,YPR
BANGARAPET (BWT),50,36,65,47,42,12539,BWT
JOLARPETTAI (JTJ),50,13,40,23,16,12539,JTJ
KATPADI JN (KPD),5,2,42,26,13,12539,KPD
ARAKKONAM (AJJ),8,11,47,31,18,12539,AJJ
PERAMBUR (PER),14,25,58,40,25,12539,PER
VIJAYAWADA JN (BZA),50,57,77,63,56,12539,BZA
WARANGAL (WL),60,83,105,85,75,12539,WL
BALHARSHAH (BPQ),96,62,67,51,47,12539,BPQ
NAGPUR (NGP),110,64,84,64,62,12539,NGP
ITARSI JN (ET),44,34,56,41,41,12539,ET
JABALPUR (JBP),12,26,53,37,39,12539,JBP
SATNA (STA),13,31,62,46,46,12539,STA
MANIKPUR JN (MKP),21,28,59,40,39,12539,MKP
PRAYAGRAJ JN (PRYJ),72,54,87,61,49,12539,PRYJ
PARTAPGARH JN (PBH),48,39,87,60,51,12539,PBH
AMETHI (AME),46,42,100,70,60,12539,AME
RAE BARELI JN (RBL),39,51,104,72,46,12539,RBL
LUCKNOW NR (LKO),20,27,61,48,23,12539,LKO
LUCKNOW NR (LKO),0,0,0,0,1,12540,LKO
RAE BARELI JN (RBL),0,5,7,7,9,12540,RBL
AMETHI (AME),1,8,16,21,19,12540,AME
PARTAPGARH JN (PBH),3,13,24,23,20,12540,PBH
PRAYAGRAJ JN (PRYJ),31,16,33,25,19,12540,PRYJ
MANIKPUR JN (MKP),27,39,34,27,16,12540,MKP
SATNA (STA),37,60,59,53,40,12540,STA
JABALPUR (JBP),48,83,92,78,67,12540,JBP
ITARSI JN (ET),20,49,81,69,63,12540,ET
NAGPUR (NGP),37,61,89,77,68,12540,NGP
BALHARSHAH (BPQ),22,57,89,73,62,12540,BPQ
WARANGAL (WL),19,63,92,73,58,12540,WL
VIJAYAWADA JN (BZA),8,107,117,84,78,12540,BZA
PERAMBUR (PER),7,89,96,66,52,12540,PER
KATPADI JN (KPD),6,98,97,100,64,12540,KPD
JOLARPETTAI (JTJ),7,100,96,95,60,12540,JTJ
BANGARAPET (BWT),0,99,100,96,62,12540,BWT
YESVANTPUR JN (YPR),18,94,93,93,56,12540,YPR
DURG (DURG),0,2,2,2,2,12549,DURG
RAIPUR JN (R),26,15,15,17,15,12549,R
BHATAPARA (BYT),26,27,29,33,29,12549,BYT
BILASPUR JN (BSP),26,24,32,33,31,12549,BSP
PENDRA ROAD (PND),74,75,76,85,87,12549,PND
ANUPPUR JN (APR),74,75,84,102,104,12549,APR
SHAHDOL (SDL),88,86,93,110,115,12549,SDL
UMARIA (UMR),99,98,100,116,122,12549,UMR
KATNI MURWARA (KMZ),126,158,150,156,154,12549,KMZ
SAUGOR (SGO),150,181,166,165,164,12549,SGO
VIRANGANA LAKSHMIBAI (VGLB),201,250,246,230,204,12549,VGLB
GWALIOR (GWL),213,284,275,258,227,12549,GWL
AGRA CANTT (AGC),213,315,314,287,241,12549,AGC
DELHI SAFDARJNG (DSJ),273,396,362,294,254,12549,DSJ
AMBALA CANT JN (UMB),245,377,349,302,242,12549,UMB
LUDHIANA JN (LDH),469,513,458,383,297,12549,LDH
JALANDHAR CANT (JRC),517,531,474,394,306,12549,JRC
PATHANKOT CANTT (PTKC),531,534,478,397,305,12549,PTKC
JAMMU TAWI (JAT),505,514,456,390,292,12549,JAT
JAMMU TAWI (JAT),0,38,23,12,7,12550,JAT
PATHANKOT CANTT (PTKC),6,39,25,14,8,12550,PTKC
JALANDHAR CANT (JRC),0,31,23,13,7,12550,JRC
LUDHIANA JN (LDH),0,35,28,16,11,12550,LDH
AMBALA CANT JN (UMB),0,30,22,13,8,12550,UMB
DELHI SAFDARJNG (DSJ),2,43,49,32,28,12550,DSJ
AGRA CANTT (AGC),1,56,60,45,47,12550,AGC
GWALIOR (GWL),9,56,66,46,50,12550,GWL
VIRANGANA LAKSHMIBAI (VGLB),9,65,73,54,58,12550,VGLB
SAUGOR (SGO),24,114,142,111,96,12550,SGO
KATNI MURWARA (KMZ),167,171,223,175,155,12550,KMZ
UMARIA (UMR),142,162,208,185,165,12550,UMR
SHAHDOL (SDL),165,188,230,203,180,12550,SDL
ANUPPUR JN (APR),178,195,238,213,186,12550,APR
PENDRA ROAD (PND),185,198,243,220,196,12550,PND
BILASPUR JN (BSP),275,221,252,238,203,12550,BSP
BHATAPARA (BYT),268,266,293,279,256,12550,BYT
RAIPUR JN (R),265,281,329,301,271,12550,R
DURG (DURG),289,298,332,303,269,12550,DURG
SAHARSA JN (SHC),13,4,2,2,7,12553,SHC
MANSI JN (MNE),18,6,5,5,9,12553,MNE
KHAGARIA JN (KGG),19,7,7,8,12,12553,KGG
BEGU SARAI (BGS),31,18,15,17,19,12553,BGS
BARAUNI JN (BJU),28,14,12,14,16,12553,BJU
DALSINGH SARAI (DSS),36,21,18,20,21,12553,DSS
SAMASTIPUR JN (SPJ),39,22,18,21,20,12553,SPJ
MUZAFFARPUR JN (MFP),39,25,25,28,26,12553,MFP
HAJIPUR JN (HJP),51,27,26,29,27,12553,HJP
SONPUR JN (SEE),58,34,33,36,34,12553,SEE
CHHAPRA (CPR),60,18,11,12,16,12553,CPR
SIWAN JN (SV),60,17,13,18,20,12553,SV
DEORIA SADAR (DEOS),67,22,24,25,24,12553,DEOS
GORAKHPUR JN (GKP),61,23,24,28,28,12553,GKP
KHALILABAD (KLD),65,25,25,30,27,12553,KLD
BASTI (BST),65,26,28,33,32,12553,BST
GONDA JN (GD),69,34,35,38,37,12553,GD
BARABANKI JN (BBK),67,35,44,41,38,12553,BBK
BADSHAHNAGAR (BNZ),69,40,44,42,39,12553,BNZ
AISHBAGH (ASH),68,39,45,43,40,12553,ASH
KANPUR CENTRAL (CNB),87,59,69,65,59,12553,CNB
ETAWAH (ETW),113,78,99,96,88,12553,ETW
TUNDLA JN (TDL),106,65,88,82,73,12553,TDL
ALIGARH JN (ALJN),99,60,88,79,66,12553,ALJN
GHAZIABAD (GZB),86,42,72,64,52,12553,GZB
NEW DELHI (NDLS),85,40,70,69,69,12553,NDLS
NEW DELHI (NDLS),0,1,3,5,5,12554,NDLS
