station,week,month,month_3,month_6,year,train_number,station_code
PENUKONDA (PKD),47,40,40,37,35,12785,PKD
HINDUPUR (HUP),51,47,46,43,41,12785,HUP
GAURIBIDANUR (GBD),49,46,44,41,39,12785,GBD
DODBALLAPUR (DBU),54,50,49,46,43,12785,DBU
YELHANKA JN (YNK),52,54,52,46,42,12785,YNK
BANGALORE EAST (BNCE),52,54,48,41,36,12785,BNCE
BANGALORE CANT (BNC),46,47,45,40,36,12785,BNC
KSR BANGALORE CY JN (SBC),54,54,51,44,39,12785,SBC
KENGERI (KGI),56,58,53,46,41,12785,KGI
RAMANAGARAM (RMGM),59,58,55,48,43,12785,RMGM
MANDYA (MYA),59,60,54,45,40,12785,MYA
MYSORE JN (MYS),111,81,63,63,53,12785,MYS
MYSORE JN (MYS),0,1,1,1,1,12786,MYS
MANDYA (MYA),10,6,4,5,3,12786,MYA
RAMANAGARAM (RMGM),11,7,4,6,5,12786,RMGM
KENGERI (KGI),25,21,20,20,16,12786,KGI
KSR BANGALORE CY JN (SBC),13,9,12,11,12,12786,SBC
BANGALORE CANT (BNC),15,10,13,13,13,12786,BNC
YELHANKA JN (YNK),27,21,23,23,21,12786,YNK
DODBALLAPUR (DBU),31,26,28,29,26,12786,DBU
GAURIBIDANUR (GBD),32,22,26,28,25,12786,GBD
HINDUPUR (HUP),31,24,25,28,26,12786,HUP
PENUKONDA (PKD),30,24,27,28,28,12786,PKD
DHARMAVARAM JN (DMM),27,23,27,28,25,12786,DMM
ANANTAPUR (ATP),27,20,27,28,30,12786,ATP
GOOTY (GY),27,21,28,30,33,12786,GY
DHONE (DHNE),33,20,24,25,26,12786,DHNE
KURNOOL TOWN (KRNT),59,50,54,50,44,12786,KRNT
GADWAL (GWD),57,48,52,48,43,12786,GWD
MAHBUBNAGAR (MBNR),59,51,51,50,44,12786,MBNR
JADCHERLA (JCL),57,40,38,39,40,12786,JCL
KACHEGUDA (KCG),43,13,8,10,8,12786,KCG
SECUNDERABAD JN (SC),13,6,48,26,21,12791,SC
KAZIPET JN (KZJ),30,27,37,28,27,12791,KZJ
PEDDAPALLI (PDPL),40,44,54,45,65,12791,PDPL
RAMGUNDAM (RDM),39,43,55,47,70,12791,RDM
MANCHIRYAL (MCI),35,40,52,45,69,12791,MCI
BELAMPALLI (BPA),49,52,61,54,79,12791,BPA
SIRPUR KAGAZNGR (SKZR),53,58,69,66,89,12791,SKZR
BALHARSHAH (BPQ),20,32,50,47,72,12791,BPQ
CHANDRAPUR (CD),15,23,39,33,59,12791,CD
SEVAGRAM (SEGM),42,55,146,96,104,12791,SEGM
NAGPUR (NGP),45,60,159,103,110,12791,NGP
KATOL (KATL),52,66,166,111,116,12791,KATL
BETUL (BZU),52,64,173,114,120,12791,BZU
GHORADONGRI (GDYA),54,63,174,115,119,12791,GDYA
ITARSI JN (ET),17,32,149,91,95,12791,ET
JABALPUR (JBP),20,34,151,91,98,12791,JBP
KATNI (KTE),29,42,159,102,110,12791,KTE
MAIHAR (MYR),48,57,57,56,54,12791,MYR
SATNA (STA),52,63,178,122,127,12791,STA
PRAYAGRAJ JN (PRYJ),46,38,156,101,103,12791,PRYJ
PRAYAGRAJ RAMBAGH (PRRB),71,44,161,105,106,12791,PRRB
GYANPUR ROAD (GYN),92,61,174,115,108,12791,GYN
BHULANPUR (BHLP),75,47,163,106,103,12791,BHLP
VARANASI JN (BSB),67,35,149,89,94,12791,BSB
PT DEEN DAYAL UPADHYAY JN (DDU),47,24,138,79,86,12791,DDU
DILDARNAGAR JN (DLN),60,42,152,90,94,12791,DLN
BUXAR (BXR),65,49,161,99,102,12791,BXR
ARA (ARA),72,53,168,109,110,12791,ARA
DANAPUR (DNR),44,26,145,85,86,12791,DNR
DANAPUR (DNR),1,1,7,6,5,12792,DNR
ARA (ARA),12,12,19,19,15,12792,ARA
BUXAR (BXR),11,19,24,22,16,12792,BXR
DILDARNAGAR JN (DLN),22,27,32,27,24,12792,DLN
