train_number,station_code,third_ac,zone,chair_car,first_class,sleeper,second_ac,type,first_ac,distance,duration,month,month_3,month_6,year,week,train_delay_level,station_delay_level
10104,TNA,1,KR,0,0,1,1,Exp,1,765.0,12.0,22,30,34,33,23,0,5
11003,TNA,1,CR,0,0,1,1,Exp,0,646.0,11.0,1,1,3,5,1,0,5
11004,TNA,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,1,4,7,9,0,0,5
11007,TNA,0,CR,1,0,0,0,Exp,0,192.0,4.0,3,3,4,5,3,4,5
11008,TNA,0,CR,1,0,0,0,Exp,0,192.0,4.16666667163372,26,29,31,29,24,4,5
11009,TNA,0,CR,1,0,0,0,Exp,0,192.0,4.16666667163372,2,3,4,4,4,4,5
11013,TNA,1,CR,0,0,1,1,Exp,1,1518.0,31.91666668653488,4,7,10,18,5,16,5
11014,TNA,1,CR,0,0,1,1,Exp,1,1518.0,30.5,17,20,25,40,21,16,5
11027,TNA,1,CR,0,0,1,1,Mail,0,1283.0,29.16666667163372,0,1,1,1,0,4,5
11028,TNA,1,CR,0,0,1,1,Mail,0,1283.0,28.91666668653488,13,20,20,36,9,16,5
11029,TNA,0,CR,1,0,0,0,Exp,0,518.0,11.75,5,5,5,8,6,16,5
11030,TNA,0,CR,1,0,0,0,Exp,0,518.0,12.449999988079073,14,20,20,22,14,4,5
11041,TNA,1,CR,0,0,1,1,Exp,0,1283.0,26.75,1,1,1,5,0,16,5
11042,TNA,1,CR,0,0,1,1,Exp,0,1283.0,25.83333331346512,37,37,31,38,118,16,5
11055,TNA,1,CR,0,0,1,1,Exp,0,1733.0,33.33333334326744,4,5,5,6,4,12,5
11056,TNA,1,CR,0,0,1,1,Exp,0,1733.0,33.66666668653488,47,63,61,52,93,12,5
11059,TNA,1,CR,0,0,1,1,Exp,0,1772.0,34.0,4,4,4,5,4,12,5
11060,TNA,1,CR,0,0,1,1,Exp,0,1772.0,34.58333331346512,52,62,51,48,15,12,5
11061,TNA,1,CR,0,0,1,1,Exp,0,1791.0,34.5,17,33,29,29,32,3,5
11062,TNA,1,CR,0,0,1,1,Exp,0,1791.0,35.91666668653488,74,138,125,117,182,8,5
11401,TNA,1,CR,0,0,1,1,Exp,0,1139.0,23.66666668653488,2,4,4,5,3,16,5
11402,TNA,1,CR,0,0,1,1,Exp,0,1139.0,23.66666668653488,16,18,18,20,11,4,5
12051,TNA,0,KR,1,0,0,0,JShtb,0,765.0,9.0,6,7,7,6,6,4,5
12052,TNA,0,KR,1,0,0,0,JShtb,0,765.0,8.833333313465118,31,53,56,41,25,0,5
12071,TNA,0,SCR,1,0,0,0,JShtb,0,374.0,6.75,3,3,5,7,1,4,5
12072,TNA,0,SCR,1,0,0,0,JShtb,0,374.0,6.75,18,18,19,18,16,4,5
12105,TNA,1,CR,0,0,1,1,SF,1,968.0,16.0,9,15,14,13,8,0,5
12106,TNA,1,CR,0,0,1,1,SF,1,968.0,15.916666686534882,56,74,68,54,86,0,5
12107,TNA,1,CR,0,0,1,1,SF,0,1410.0,22.75,3,4,7,11,0,0,5
12108,TNA,1,CR,0,0,1,1,SF,0,1409.0,24.0,29,88,70,74,22,0,5
12111,TNA,1,CR,0,0,1,1,SF,1,673.0,12.16666667163372,11,10,10,10,10,4,5
12112,TNA,1,CR,0,0,1,1,SF,1,673.0,11.5,47,35,29,28,68,4,5
12115,TNA,1,CR,0,0,1,1,SF,1,455.0,8.25,5,7,8,12,2,16,5
12116,TNA,1,CR,0,0,1,1,SF,1,455.0,8.25,15,18,23,26,22,4,5
12125,TNA,0,CR,1,0,0,0,SF,0,192.0,3.466666668653488,7,7,6,7,9,4,5
12126,TNA,0,CR,1,0,0,0,SF,0,192.0,3.333333343267441,20,27,27,25,21,4,5
12127,TNA,0,CR,1,0,0,0,SF,0,192.0,3.116666667163372,3,4,5,7,1,4,5
12128,TNA,0,CR,1,0,0,0,SF,0,192.0,3.08333333581686,6,8,10,13,5,4,5
12131,TNA,1,CR,0,0,1,1,SF,0,336.0,6.100000001490116,3,4,3,5,4,4,5
12132,TNA,1,CR,0,0,1,1,SF,0,336.0,6.08333333581686,46,28,22,17,83,16,5
12139,TNA,1,CR,0,0,1,1,SF,0,838.0,15.16666667163372,6,9,8,9,5,0,5
12140,TNA,1,CR,0,0,1,1,SF,0,838.0,15.0,35,35,31,31,33,16,5
12141,TNA,1,CR,0,0,1,1,SF,0,1714.0,29.25,24,49,47,37,20,3,5
12142,TNA,1,CR,0,0,1,1,SF,0,1714.0,28.83333331346512,91,106,107,86,65,3,5
12161,TNA,1,CR,0,0,1,1,SF,0,1334.0,20.5,5,21,20,18,2,12,5
12162,TNA,1,CR,0,0,1,1,SF,0,1334.0,22.91666668653488,75,180,189,187,0,1,5
12165,TNA,1,CR,0,0,1,1,SF,0,1483.0,25.75,4,5,7,7,3,0,5
12166,TNA,1,CR,0,0,1,1,SF,0,1483.0,25.25,139,143,156,131,260,10,5
12173,TNA,1,CR,0,0,1,1,SF,0,1583.0,26.5,3,3,4,5,3,0,5
12174,TNA,1,CR,0,0,1,1,SF,0,1583.0,28.41666665673256,43,42,37,49,15,16,5
12519,TNA,1,SR,0,0,1,1,SF,0,1667.0,24.58333331346512,1,3,4,8,3,8,5
12520,TNA,1,CR,0,0,1,1,SF,0,1667.0,24.25,52,148,218,172,86,3,5
12809,TNA,1,SER,0,0,1,1,SF,1,1968.0,33.25,6,7,10,12,6,3,5
12811,TNA,1,SER,0,0,1,1,SF,0,1706.0,27.5,3,6,11,13,5,8,5
12812,TNA,1,SER,0,0,1,1,SF,0,1706.0,27.91666668653488,152,142,197,208,132,15,5
10103,PNVL,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,18,29,35,27,15,8,5
10104,PNVL,1,KR,0,0,1,1,Exp,1,765.0,12.0,27,35,39,36,26,0,5
11003,PNVL,1,CR,0,0,1,1,Exp,0,646.0,11.0,13,12,16,16,16,0,5
11004,PNVL,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,11,13,14,15,10,0,5
11025,PNVL,0,CR,1,0,0,0,Exp,0,364.0,7.583333313465118,16,33,28,28,16,16,5
11026,PNVL,0,CR,1,0,0,0,Exp,0,364.0,8.666666686534882,20,26,20,21,20,0,5
12051,PNVL,0,KR,1,0,0,0,JShtb,0,765.0,9.0,13,14,17,18,14,4,5
12052,PNVL,0,KR,1,0,0,0,JShtb,0,765.0,8.833333313465118,29,39,48,38,22,0,5
12125,PNVL,0,CR,1,0,0,0,SF,0,192.0,3.466666668653488,16,18,21,20,18,4,5
12126,PNVL,0,CR,1,0,0,0,SF,0,192.0,3.333333343267441,21,22,24,24,21,4,5
12218,PNVL,1,NR,0,0,1,1,SKr,1,3415.0,53.83333331346512,33,26,28,29,15,16,5
12283,PNVL,1,NR,0,0,1,1,Drnt,1,2943.0,44.0,5,9,10,15,10,4,5
12284,PNVL,1,NR,0,0,1,1,Drnt,1,2943.0,41.91666668653488,4,113,57,43,14,0,5
12431,PNVL,1,NR,0,0,0,1,Raj,1,3149.0,41.41666665673256,44,34,35,29,8,16,5
12432,PNVL,1,NR,0,0,0,1,Raj,1,3149.0,42.08333333581686,77,43,31,25,24,12,5
12977,PNVL,1,NWR,0,0,1,1,SF,1,2859.0,44.41666665673256,35,31,35,40,30,0,5
12978,PNVL,1,NWR,0,0,1,1,SF,1,2859.0,44.66666668653488,20,13,17,15,8,0,5
10103,MNI,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,7,18,23,16,3,8,5
10104,MNI,1,KR,0,0,1,1,Exp,1,765.0,12.0,31,36,43,43,23,0,5
11003,MNI,1,CR,0,0,1,1,Exp,0,646.0,11.0,3,4,7,10,4,0,5
11004,MNI,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,50,46,47,49,40,0,5
10103,KHED,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,36,41,47,41,26,8,3
10104,KHED,1,KR,0,0,1,1,Exp,1,765.0,12.0,31,35,41,41,22,0,3
11003,KHED,1,CR,0,0,1,1,Exp,0,646.0,11.0,18,16,16,17,9,0,3
11004,KHED,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,68,65,63,65,54,0,3
10103,CHI,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,40,43,51,45,26,8,3
10104,CHI,1,KR,0,0,1,1,Exp,1,765.0,12.0,34,38,42,42,25,0,3
11003,CHI,1,CR,0,0,1,1,Exp,0,646.0,11.0,24,21,24,25,14,0,3
11004,CHI,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,84,78,73,69,69,0,3
12051,CHI,0,KR,1,0,0,0,JShtb,0,765.0,9.0,17,16,22,17,17,4,3
12052,CHI,0,KR,1,0,0,0,JShtb,0,765.0,8.833333313465118,26,34,45,42,22,0,3
10103,SGR,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,54,55,67,60,38,8,3
10104,SGR,1,KR,0,0,1,1,Exp,1,765.0,12.0,31,36,39,37,25,0,3
11003,SGR,1,CR,0,0,1,1,Exp,0,646.0,11.0,49,42,48,46,46,0,3
11004,SGR,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,55,49,46,44,43,0,3
10103,RN,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,56,54,69,66,47,8,3
10104,RN,1,KR,0,0,1,1,Exp,1,765.0,12.0,25,32,34,31,20,0,3
11003,RN,1,CR,0,0,1,1,Exp,0,646.0,11.0,51,40,46,47,40,0,3
11004,RN,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,56,50,45,37,40,0,3
12051,RN,0,KR,1,0,0,0,JShtb,0,765.0,9.0,18,17,24,23,22,4,3
12052,RN,0,KR,1,0,0,0,JShtb,0,765.0,8.833333313465118,13,20,32,31,11,0,3
12218,RN,1,NR,0,0,1,1,SKr,1,3415.0,53.83333331346512,66,52,56,61,56,16,3
12223,RN,1,CR,0,0,0,1,Drnt,1,1599.0,20.91666668653488,57,53,55,52,62,0,3
12224,RN,1,SR,0,0,0,1,Drnt,1,1598.0,20.75,50,58,59,52,15,0,3
12283,RN,1,NR,0,0,1,1,Drnt,1,2943.0,44.0,23,25,27,24,2,4,3
12284,RN,1,NR,0,0,1,1,Drnt,1,2943.0,41.91666668653488,20,131,76,69,20,0,3
12431,RN,1,NR,0,0,0,1,Raj,1,3149.0,41.41666665673256,57,52,49,42,19,16,3
12432,RN,1,NR,0,0,0,1,Raj,1,3149.0,42.08333333581686,114,74,64,58,51,12,3
12977,RN,1,NWR,0,0,1,1,SF,1,2859.0,44.41666665673256,44,39,40,41,39,0,3
12978,RN,1,NWR,0,0,1,1,SF,1,2859.0,44.66666668653488,53,43,50,41,38,0,3
10103,ADVI,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,59,64,77,75,50,8,3
10104,ADVI,1,KR,0,0,1,1,Exp,1,765.0,12.0,33,38,44,47,29,0,3
11003,ADVI,1,CR,0,0,1,1,Exp,0,646.0,11.0,59,51,56,54,48,0,3
11004,ADVI,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,45,38,39,38,34,0,3
10103,RAJP,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,61,67,79,73,48,8,0
10104,RAJP,1,KR,0,0,1,1,Exp,1,765.0,12.0,56,60,63,63,49,0,0
11003,RAJP,1,CR,0,0,1,1,Exp,0,646.0,11.0,63,56,60,56,48,0,0
11004,RAJP,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,34,30,34,35,32,0,0
10103,VBW,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,63,72,83,74,50,8,0
10104,VBW,1,KR,0,0,1,1,Exp,1,765.0,12.0,58,63,64,62,52,0,0
11003,VBW,1,CR,0,0,1,1,Exp,0,646.0,11.0,68,59,64,60,58,0,0
11004,VBW,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,32,29,33,32,31,0,0
10103,KKW,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,73,80,91,81,61,8,3
10104,KKW,1,KR,0,0,1,1,Exp,1,765.0,12.0,47,53,54,54,43,0,3
11003,KKW,1,CR,0,0,1,1,Exp,0,646.0,11.0,76,67,70,65,67,0,3
11004,KKW,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,28,23,26,27,25,0,3
12051,KKW,0,KR,1,0,0,0,JShtb,0,765.0,9.0,28,26,33,33,34,4,3
12052,KKW,0,KR,1,0,0,0,JShtb,0,765.0,8.833333313465118,25,31,41,43,22,0,3
10103,SNDD,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,74,82,93,82,63,8,0
10104,SNDD,1,KR,0,0,1,1,Exp,1,765.0,12.0,38,42,46,48,30,0,0
11003,SNDD,1,CR,0,0,1,1,Exp,0,646.0,11.0,77,69,72,67,68,0,0
11004,SNDD,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,25,19,22,22,21,0,0
10103,KUDL,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,73,83,94,83,62,8,3
10104,KUDL,1,KR,0,0,1,1,Exp,1,765.0,12.0,32,35,40,41,29,0,3
11003,KUDL,1,CR,0,0,1,1,Exp,0,646.0,11.0,69,61,65,63,59,0,3
11004,KUDL,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,13,11,13,15,7,0,3
12051,KUDL,0,KR,1,0,0,0,JShtb,0,765.0,9.0,23,21,30,34,28,4,3
12052,KUDL,0,KR,1,0,0,0,JShtb,0,765.0,8.833333313465118,23,31,39,37,23,0,3
10103,SWV,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,67,73,84,73,59,8,5
10104,SWV,1,KR,0,0,1,1,Exp,1,765.0,12.0,30,32,36,37,31,0,5
11003,SWV,1,CR,0,0,1,1,Exp,0,646.0,11.0,19,29,30,34,7,0,5
11004,SWV,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,1,3,6,7,0,0,5
12051,SWV,0,KR,1,0,0,0,JShtb,0,765.0,9.0,16,16,26,30,19,4,5
12052,SWV,0,KR,1,0,0,0,JShtb,0,765.0,8.833333313465118,20,26,34,33,18,0,5
10103,PERN,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,53,66,76,70,37,8,3
10104,PERN,1,KR,0,0,1,1,Exp,1,765.0,12.0,26,30,34,36,25,0,3
10103,THVM,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,54,68,80,76,39,8,3
10104,THVM,1,KR,0,0,1,1,Exp,1,765.0,12.0,24,28,31,32,23,0,3
12051,THVM,0,KR,1,0,0,0,JShtb,0,765.0,9.0,26,24,33,35,27,4,3
12052,THVM,0,KR,1,0,0,0,JShtb,0,765.0,8.833333313465118,17,23,32,32,16,0,3
12977,THVM,1,NWR,0,0,1,1,SF,1,2859.0,44.41666665673256,46,39,42,51,64,0,3
12978,THVM,1,NWR,0,0,1,1,SF,1,2859.0,44.66666668653488,53,50,73,73,20,0,3
10103,KRMI,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,53,71,83,77,39,8,3
10104,KRMI,1,KR,0,0,1,1,Exp,1,765.0,12.0,24,27,30,30,23,0,3
10103,MAO,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,14,38,46,34,1,8,3
10104,MAO,1,KR,0,0,1,1,Exp,1,765.0,12.0,2,2,3,4,2,0,3
10215,MAO,1,KR,0,0,1,1,Exp,1,850.0,13.41666665673256,12,22,16,15,10,16,3
10216,MAO,1,KR,0,0,1,1,Exp,1,850.0,13.41666665673256,1,20,16,14,6,4,3
11097,MAO,1,CR,0,0,1,1,Exp,0,1435.0,29.16666667163372,48,47,34,31,90,0,3
11098,MAO,1,CR,0,0,1,1,Exp,0,1435.0,29.58333331346512,3,16,11,21,0,16,3
12051,MAO,0,KR,1,0,0,0,JShtb,0,765.0,9.0,15,11,21,22,27,4,3
12052,MAO,0,KR,1,0,0,0,JShtb,0,765.0,8.833333313465118,9,10,15,14,10,0,3
12218,MAO,1,NR,0,0,1,1,SKr,1,3415.0,53.83333331346512,55,57,62,78,37,16,3
12223,MAO,1,CR,0,0,0,1,Drnt,1,1599.0,20.91666668653488,32,33,44,47,10,0,3
12224,MAO,1,SR,0,0,0,1,Drnt,1,1598.0,20.75,52,55,51,48,31,0,3
12283,MAO,1,NR,0,0,1,1,Drnt,1,2943.0,44.0,21,16,17,22,2,4,3
12284,MAO,1,NR,0,0,1,1,Drnt,1,2943.0,41.91666668653488,28,144,103,106,37,0,3
12431,MAO,1,NR,0,0,0,1,Raj,1,3149.0,41.41666665673256,61,48,41,35,24,16,3
12432,MAO,1,NR,0,0,0,1,Raj,1,3149.0,42.08333333581686,96,59,57,54,27,12,3
12779,MAO,1,SWR,0,0,1,1,SF,0,2202.0,39.08333333581686,11,10,17,15,13,0,3
12780,MAO,1,SWR,0,0,1,1,SF,0,2202.0,39.41666665673256,205,195,186,149,277,7,3
12977,MAO,1,NWR,0,0,1,1,SF,1,2859.0,44.41666665673256,34,27,25,25,39,0,3
12978,MAO,1,NWR,0,0,1,1,SF,1,2859.0,44.66666668653488,72,60,76,71,12,0,3
10215,KAWR,1,KR,0,0,1,1,Exp,1,850.0,13.41666665673256,15,21,18,16,13,16,3
10216,KAWR,1,KR,0,0,1,1,Exp,1,850.0,13.41666665673256,36,58,55,42,25,4,3
11097,KAWR,1,CR,0,0,1,1,Exp,0,1435.0,29.16666667163372,52,49,38,36,89,0,3
11098,KAWR,1,CR,0,0,1,1,Exp,0,1435.0,29.58333331346512,29,50,38,43,20,16,3
12431,KAWR,1,NR,0,0,0,1,Raj,1,3149.0,41.41666665673256,56,47,40,38,25,16,3
12432,KAWR,1,NR,0,0,0,1,Raj,1,3149.0,42.08333333581686,96,57,57,54,25,12,3
12977,KAWR,1,NWR,0,0,1,1,SF,1,2859.0,44.41666665673256,40,41,33,29,51,0,3
12978,KAWR,1,NWR,0,0,1,1,SF,1,2859.0,44.66666668653488,65,56,73,77,10,0,3
10215,BTJL,1,KR,0,0,1,1,Exp,1,850.0,13.41666665673256,26,39,31,22,20,16,3
10216,BTJL,1,KR,0,0,1,1,Exp,1,850.0,13.41666665673256,21,32,34,31,8,4,3
11097,BTJL,1,CR,0,0,1,1,Exp,0,1435.0,29.16666667163372,72,61,46,39,160,0,3
11098,BTJL,1,CR,0,0,1,1,Exp,0,1435.0,29.58333331346512,25,42,31,44,19,16,3
12977,BTJL,1,NWR,0,0,1,1,SF,1,2859.0,44.41666665673256,17,17,18,24,37,0,3
12978,BTJL,1,NWR,0,0,1,1,SF,1,2859.0,44.66666668653488,68,57,65,68,0,0,3
10215,UD,1,KR,0,0,1,1,Exp,1,850.0,13.41666665673256,25,43,40,44,21,16,3
10216,UD,1,KR,0,0,1,1,Exp,1,850.0,13.41666665673256,13,24,23,25,2,4,3
11097,UD,1,CR,0,0,1,1,Exp,0,1435.0,29.16666667163372,59,46,32,29,140,0,3
11098,UD,1,CR,0,0,1,1,Exp,0,1435.0,29.58333331346512,7,28,20,21,0,16,3
12218,UD,1,NR,0,0,1,1,SKr,1,3415.0,53.83333331346512,70,61,56,59,26,16,3
12431,UD,1,NR,0,0,0,1,Raj,1,3149.0,41.41666665673256,41,30,21,17,19,16,3
